entity,code,year,life_expectancy
Asia,NA,1990,64.25
Asia,NA,1991,64.551
Asia,NA,1992,64.846
Asia,NA,1993,65.14
Asia,NA,1994,65.44
Asia,NA,1995,65.748
Asia,NA,1996,66.067
Asia,NA,1997,66.397
Asia,NA,1998,66.735
Asia,NA,1999,67.081
Asia,NA,2000,67.432
Asia,NA,2001,67.786
Asia,NA,2002,68.139
Asia,NA,2003,68.489
Asia,NA,2004,68.835
Asia,NA,2005,69.179
Asia,NA,2006,69.525
Asia,NA,2007,69.876
Asia,NA,2008,70.231
Asia,NA,2009,70.591
Asia,NA,2010,70.951
Asia,NA,2011,71.309
Asia,NA,2012,71.659
Asia,NA,2013,71.997
Asia,NA,2014,72.319
Asia,NA,2015,72.62
Asia,NA,2016,72.897
Asia,NA,2017,73.15
Asia,NA,2018,73.381
Asia,NA,2019,73.593
Central African Republic,CAF,1990,49.104
Central African Republic,CAF,1991,48.728
Central African Republic,CAF,1992,48.267
Central African Republic,CAF,1993,47.731
Central African Republic,CAF,1994,47.143
Central African Republic,CAF,1995,46.53
Central African Republic,CAF,1996,45.922
Central African Republic,CAF,1997,45.353
Central African Republic,CAF,1998,44.857
Central African Republic,CAF,1999,44.461
Central African Republic,CAF,2000,44.19
Central African Republic,CAF,2001,44.061
Central African Republic,CAF,2002,44.063
Central African Republic,CAF,2003,44.182
Central African Republic,CAF,2004,44.413
Central African Republic,CAF,2005,44.744
Central African Republic,CAF,2006,45.158
Central African Republic,CAF,2007,45.636
Central African Republic,CAF,2008,46.161
Central African Republic,CAF,2009,46.719
Central African Republic,CAF,2010,47.312
Central African Republic,CAF,2011,47.95
Central African Republic,CAF,2012,48.638
Central African Republic,CAF,2013,49.371
Central African Republic,CAF,2014,50.129
Central African Republic,CAF,2015,50.881
Central African Republic,CAF,2016,51.593
Central African Republic,CAF,2017,52.24
Central African Republic,CAF,2018,52.805
Central African Republic,CAF,2019,53.283
Congo,COG,1990,54.638
Congo,COG,1991,54.281
Congo,COG,1992,53.867
Congo,COG,1993,53.424
Congo,COG,1994,52.984
Congo,COG,1995,52.583
Congo,COG,1996,52.252
Congo,COG,1997,52.016
Congo,COG,1998,51.899
Congo,COG,1999,51.925
Congo,COG,2000,52.123
Congo,COG,2001,52.517
Congo,COG,2002,53.091
Congo,COG,2003,53.817
Congo,COG,2004,54.667
Congo,COG,2005,55.6
Congo,COG,2006,56.573
Congo,COG,2007,57.541
Congo,COG,2008,58.466
Congo,COG,2009,59.321
Congo,COG,2010,60.093
Congo,COG,2011,60.785
Congo,COG,2012,61.423
Congo,COG,2013,62.022
Congo,COG,2014,62.582
Congo,COG,2015,63.097
Congo,COG,2016,63.556
Congo,COG,2017,63.954
Congo,COG,2018,64.29
Congo,COG,2019,64.57
Finland,FIN,1990,75.254
Finland,FIN,1991,75.469
Finland,FIN,1992,75.705
